campaign_id,campaign_name,brand,industry,goal,platform,start_date,end_date,budget_usd,spend_usd,target_audience,region,status
1,Campaign_Iterate_Rich_Networks_1,Brown-Jones,Tech,Lead Generation,Instagram,2024-09-05,2024-09-19,7376.02,5237.06,55+,Eritrea,Completed
2,Campaign_Empower_B2C_Bandwidth_2,"Holland, Oliver and Crawford",Tech,Retargeting,LinkedIn,2024-08-17,2024-09-20,8019.35,5112.16,18-24,Libyan Arab Jamahiriya,Paused
3,Campaign_Enhance_Extensible_Action-Items_3,"Morgan, Phillips and Velasquez",Tech,Engagement,LinkedIn,2024-03-18,2024-05-09,66739.02,54590.96,35-44,Japan,Completed
4,Campaign_Evolve_Out-Of-The-Box_Methodologies_4,"Armstrong, Castro and Oconnor",Food & Beverage,Lead Generation,Twitter,2024-10-21,2024-12-18,20167.64,15509.84,35-44,Uruguay,Completed
5,Campaign_Empower_Bricks-And-Clicks_Deliverables_5,Moore Ltd,Finance,Sales Conversion,Instagram,2024-02-06,2024-03-08,14188.06,13322.56,45-54,Malta,Paused
6,Campaign_Maximize_Out-Of-The-Box_E-Tailers_6,Whitaker-Larson,Travel,Retargeting,YouTube,2024-02-18,2024-03-20,12486.02,8955.86,55+,Portugal,Completed
7,Campaign_Productize_Proactive_Niches_7,Mcmahon and Sons,Food & Beverage,Brand Awareness,Twitter,2024-09-30,2024-10-11,9353.32,6464.63,18-24,Venezuela,Active
8,Campaign_Transform_User-Centric_Metrics_8,Scott and Sons,Food & Beverage,Sales Conversion,Twitter,2024-04-17,2024-05-23,65390.02,48776.57,35-44,Venezuela,Paused
9,Campaign_Expedite_Visionary_Platforms_9,"Anderson, Williams and Lee",Finance,Lead Generation,Twitter,2024-09-22,2024-11-09,11783.24,10062.78,45-54,Croatia,Active
10,Campaign_Re-Intermediate_Cutting-Edge_Relationships_10,Jenkins-Faulkner,Food & Beverage,Brand Awareness,Twitter,2024-04-14,2024-05-31,70375.39,48407.44,18-24,Cyprus,Active
11,Campaign_Matrix_Dynamic_Roi_11,Martin-Wood,Finance,Sales Conversion,Twitter,2024-06-04,2024-06-28,11287.92,10895.72,45-54,Zimbabwe,Active
12,Campaign_Unleash_Collaborative_Applications_12,Johnson LLC,Travel,Retargeting,LinkedIn,2024-09-06,2024-10-12,18572.8,12181.01,35-44,Bosnia and Herzegovina,Paused
