post_id,campaign_id,platform,content_type,post_date,post_hour,day_of_week,caption_length,hashtag_count,has_emoji,reach,impressions,likes,comments,shares,saves,clicks,engagement_rate,ctr,sentiment_score,sentiment_label
1,1,Instagram,Reel,2024-09-18,1,Wednesday,319,15,True,348011,982845,9005,2245,1014,1797,47131,0.0352,0.048,-0.886,Negative
2,1,Instagram,Carousel,2024-09-06,1,Friday,337,2,False,447348,691591,26259,2747,1106,2606,50015,0.0673,0.0723,0.315,Negative
3,1,Instagram,Post,2024-09-17,2,Tuesday,24,14,True,166868,557888,5771,596,417,634,31809,0.0407,0.057,-0.853,Positive
4,1,Instagram,Post,2024-09-17,19,Tuesday,433,20,True,140041,198563,4477,640,368,710,8076,0.0392,0.0407,0.336,Negative
5,1,Instagram,Carousel,2024-09-12,6,Thursday,387,10,True,489508,1317820,30283,3449,1600,3163,64211,0.0722,0.0487,0.375,Neutral
6,1,Instagram,Story,2024-09-17,20,Tuesday,154,5,False,257131,437814,14803,3258,2480,1727,5729,0.0799,0.0131,0.103,Neutral
7,1,Instagram,Video,2024-09-18,4,Wednesday,41,9,False,6069,8305,493,45,15,79,297,0.0911,0.0358,0.798,Positive
8,1,Instagram,Story,2024-09-13,5,Friday,429,25,True,111140,304185,6064,1060,900,1212,23777,0.0722,0.0782,0.763,Positive
9,1,Instagram,Tweet,2024-09-09,3,Monday,215,27,True,387171,1284931,24240,4548,3063,1983,35170,0.0823,0.0274,0.717,Positive
10,1,Instagram,Post,2024-09-09,2,Monday,415,8,False,429126,1417954,19682,3617,997,2552,79692,0.0566,0.0562,0.283,Neutral
11,1,Instagram,Video,2024-09-18,11,Wednesday,393,25,False,174617,585694,5578,478,683,399,16740,0.0386,0.0286,-0.127,Negative
12,1,Instagram,Tweet,2024-09-07,23,Saturday,363,6,False,202953,661385,4907,894,588,919,43952,0.0315,0.0665,-0.137,Negative
13,1,Instagram,Post,2024-09-13,17,Friday,85,6,False,327712,607380,24944,2788,1558,3254,23437,0.0894,0.0386,0.33,Neutral
14,1,Instagram,Post,2024-09-09,14,Monday,246,14,True,323707,798213,16158,1731,793,2768,51886,0.0577,0.065,0.022,Negative
15,1,Instagram,Story,2024-09-09,6,Monday,95,0,True,346427,451570,18256,2210,2261,3369,28259,0.0656,0.0626,-0.51,Neutral
16,1,Instagram,Reel,2024-09-06,3,Friday,418,13,True,239769,502234,11603,2486,1237,2102,13599,0.0639,0.0271,-0.648,Negative
17,1,Instagram,Carousel,2024-09-17,10,Tuesday,406,28,False,244557,298487,9673,1226,1078,2394,16933,0.049,0.0567,0.225,Negative
18,1,Instagram,Tweet,2024-09-17,8,Tuesday,412,24,False,224735,695187,13709,2216,1033,1363,19564,0.0755,0.0281,0.253,Neutral
19,2,LinkedIn,Tweet,2024-08-20,6,Tuesday,52,13,False,375103,669839,6900,1204,359,1302,17541,0.0226,0.0262,-0.338,Neutral
20,2,LinkedIn,Video,2024-09-06,15,Friday,23,30,False,33645,53710,955,134,93,193,3758,0.0351,0.07,-0.403,Neutral
21,2,LinkedIn,Post,2024-09-06,21,Friday,367,25,False,283182,819539,8069,853,445,450,33198,0.0331,0.0405,0.448,Neutral
22,2,LinkedIn,Story,2024-08-23,1,Friday,153,12,False,327241,779454,12478,2141,492,2787,31180,0.0462,0.04,-0.577,Neutral
23,2,LinkedIn,Reel,2024-09-02,11,Monday,134,20,True,400103,1284785,9781,1147,1081,1954,55144,0.03,0.0429,0.562,Negative
24,2,LinkedIn,Story,2024-08-18,14,Sunday,378,8,False,396435,465601,8908,1328,463,649,20090,0.027,0.0431,-0.664,Negative
25,2,LinkedIn,Video,2024-08-22,22,Thursday,121,2,True,408786,1253469,12751,1259,1076,3081,71967,0.0369,0.0574,-0.796,Neutral
26,2,LinkedIn,Tweet,2024-09-19,10,Thursday,26,27,False,315788,957869,10966,885,1025,699,53934,0.0408,0.0563,0.645,Positive
27,2,LinkedIn,Article,2024-09-07,17,Saturday,416,15,False,190890,501163,7225,949,798,751,38881,0.047,0.0776,-0.129,Negative
28,2,LinkedIn,Tweet,2024-09-14,12,Saturday,192,0,False,141716,265509,3297,329,236,540,16603,0.0273,0.0625,0.702,Positive
29,2,LinkedIn,Story,2024-09-09,2,Monday,143,23,False,112211,218988,1987,373,307,304,10709,0.0238,0.0489,-0.023,Positive
30,2,LinkedIn,Carousel,2024-09-19,11,Thursday,262,17,False,250609,664155,7328,589,374,815,38803,0.0331,0.0584,-0.149,Negative
31,2,LinkedIn,Article,2024-09-12,22,Thursday,114,6,True,174429,339150,3939,486,517,782,10882,0.0283,0.0321,0.477,Neutral
32,2,LinkedIn,Carousel,2024-09-14,4,Saturday,160,1,True,399567,942629,6634,868,478,350,21266,0.02,0.0226,0.107,Negative
33,2,LinkedIn,Reel,2024-08-23,8,Friday,461,15,True,335427,1068102,10128,1427,765,879,43613,0.0367,0.0408,0.644,Neutral
34,2,LinkedIn,Carousel,2024-09-09,13,Monday,330,19,True,39840,98996,1031,247,181,102,1580,0.0366,0.016,0.551,Neutral
35,2,LinkedIn,Article,2024-09-07,6,Saturday,340,6,False,477317,1032212,20697,2091,1809,4098,54370,0.0515,0.0527,0.321,Positive
36,2,LinkedIn,Post,2024-08-28,22,Wednesday,460,14,True,92128,223390,1506,287,139,162,2744,0.021,0.0123,0.375,Neutral
37,3,LinkedIn,Carousel,2024-04-06,23,Saturday,442,18,False,223895,307959,3535,496,203,737,4365,0.0189,0.0142,-0.122,Neutral
38,3,LinkedIn,Carousel,2024-04-16,8,Tuesday,33,2,True,367861,760008,7522,1065,770,1481,54917,0.0254,0.0723,0.924,Negative
39,3,LinkedIn,Story,2024-03-20,18,Wednesday,243,20,False,401954,1090692,6335,1554,713,1477,60648,0.0214,0.0556,0.938,Neutral
40,3,LinkedIn,Article,2024-04-20,17,Saturday,38,14,True,215092,408661,7624,835,760,1822,12331,0.0429,0.0302,-0.371,Neutral
41,3,LinkedIn,Post,2024-03-29,19,Friday,407,15,False,406037,840504,13124,1907,1044,1148,32718,0.0396,0.0389,0.52,Positive
42,3,LinkedIn,Tweet,2024-04-12,5,Friday,179,17,True,288949,408698,6960,896,203,1460,22111,0.0279,0.0541,0.105,Positive
43,3,LinkedIn,Post,2024-04-08,13,Monday,447,15,False,442138,1455090,9101,2265,1018,1381,87541,0.028,0.0602,-0.513,Negative
44,3,LinkedIn,Post,2024-04-01,16,Monday,156,26,True,202109,314777,6433,565,227,1420,20173,0.0357,0.0641,-0.434,Neutral
45,3,LinkedIn,Story,2024-05-04,22,Saturday,142,18,False,454645,662249,11399,1986,1198,1303,27731,0.0321,0.0419,-0.533,Neutral
46,3,LinkedIn,Video,2024-03-22,1,Friday,84,16,False,167816,484533,6014,716,591,1480,32682,0.0436,0.0675,0.739,Neutral
47,3,LinkedIn,Post,2024-03-27,10,Wednesday,339,22,False,276749,909137,3099,782,556,639,13853,0.016,0.0152,0.3,Neutral
48,3,LinkedIn,Tweet,2024-05-08,9,Wednesday,136,23,True,200234,678780,6915,891,571,670,36126,0.0418,0.0532,-0.132,Positive
49,3,LinkedIn,Story,2024-03-27,16,Wednesday,230,18,True,233615,350253,3800,615,182,517,12291,0.0197,0.0351,-0.66,Positive
50,3,LinkedIn,Article,2024-04-24,14,Wednesday,481,9,True,325906,892826,8778,952,923,1609,37650,0.0327,0.0422,-0.852,Neutral
51,3,LinkedIn,Video,2024-04-16,18,Tuesday,203,18,False,335987,1145335,10191,1283,1598,726,79868,0.0389,0.0697,0.985,Neutral
52,3,LinkedIn,Video,2024-03-20,9,Wednesday,417,25,True,436178,1168848,9050,1602,1075,1550,15701,0.0269,0.0134,0.214,Neutral
53,3,LinkedIn,Tweet,2024-04-08,20,Monday,40,9,False,334771,521009,7304,1274,748,507,10198,0.0279,0.0196,-0.933,Neutral
54,3,LinkedIn,Carousel,2024-03-30,8,Saturday,445,5,False,48255,158426,996,111,132,122,11304,0.0257,0.0714,0.828,Neutral
55,3,LinkedIn,Tweet,2024-04-15,12,Monday,453,25,False,392412,1251383,13112,1177,1644,2429,32276,0.0406,0.0258,-0.819,Neutral
56,3,LinkedIn,Reel,2024-03-19,21,Tuesday,139,15,True,139652,333457,3743,625,356,891,22531,0.0338,0.0676,0.239,Negative
57,4,Twitter,Post,2024-11-11,15,Monday,79,3,True,340556,426281,8904,924,606,2130,8433,0.0306,0.0198,0.775,Positive
58,4,Twitter,Tweet,2024-11-27,3,Wednesday,446,15,False,238839,475391,6472,949,611,1469,28933,0.0336,0.0609,0.878,Neutral
59,4,Twitter,Tweet,2024-10-24,11,Thursday,51,12,False,362905,721916,5846,1009,208,928,41869,0.0195,0.058,-0.62,Positive
60,4,Twitter,Carousel,2024-12-04,6,Wednesday,55,26,True,49063,132011,914,70,111,68,3570,0.0223,0.027,0.173,Positive
61,4,Twitter,Story,2024-11-21,3,Thursday,358,27,True,406992,591819,7444,2018,469,745,11303,0.0244,0.0191,-0.736,Neutral
62,4,Twitter,Article,2024-11-13,11,Wednesday,282,18,True,309728,581375,1772,426,213,257,36159,0.0078,0.0622,-0.096,Positive
63,4,Twitter,Video,2024-10-25,13,Friday,371,3,False,382284,1139108,8869,1294,1312,1293,16241,0.03,0.0143,0.425,Neutral
64,4,Twitter,Carousel,2024-10-28,16,Monday,170,14,False,472474,611332,6455,962,877,742,29579,0.0176,0.0484,-0.802,Negative
65,4,Twitter,Article,2024-11-01,14,Friday,224,13,True,448108,1197035,10650,2185,870,1413,86385,0.0306,0.0722,-0.375,Neutral
66,4,Twitter,Post,2024-11-14,4,Thursday,304,1,False,197241,668375,3678,338,153,731,26889,0.0211,0.0402,0.34,Neutral
67,4,Twitter,Carousel,2024-11-24,16,Sunday,128,4,False,459021,1237895,10911,1752,1398,1312,64406,0.0306,0.052,-0.552,Positive
68,4,Twitter,Carousel,2024-11-23,19,Saturday,365,20,True,444219,1081689,2338,290,217,475,53292,0.0064,0.0493,0.218,Negative
69,4,Twitter,Video,2024-11-15,2,Friday,92,23,True,16179,24802,283,40,9,46,1758,0.0205,0.0709,-0.816,Negative
70,4,Twitter,Reel,2024-11-10,4,Sunday,100,24,True,198234,417797,2050,410,275,137,20777,0.0138,0.0497,0.348,Neutral
71,4,Twitter,Tweet,2024-12-03,21,Tuesday,323,15,False,348046,737034,5702,653,557,411,25178,0.0199,0.0342,-0.909,Neutral
72,4,Twitter,Video,2024-10-26,5,Saturday,86,12,True,5030,8000,139,24,8,20,147,0.034,0.0184,0.001,Negative
73,4,Twitter,Video,2024-11-24,22,Sunday,347,13,False,38788,79630,757,115,31,102,2541,0.0233,0.0319,-0.77,Positive
74,5,Instagram,Video,2024-02-14,16,Wednesday,60,12,False,421123,1420984,21257,2591,1652,2915,24739,0.0606,0.0174,0.492,Positive
75,5,Instagram,Article,2024-02-22,20,Thursday,437,4,True,409482,615663,16612,3140,2875,3247,21213,0.0553,0.0345,-0.794,Neutral
76,5,Instagram,Article,2024-02-15,18,Thursday,249,21,False,91963,234115,6305,612,740,1266,10438,0.0833,0.0446,0.728,Negative
77,5,Instagram,Video,2024-02-21,14,Wednesday,39,1,False,80145,172746,3989,750,389,258,5983,0.064,0.0346,0.663,Positive
78,5,Instagram,Carousel,2024-02-10,20,Saturday,116,10,False,323441,816944,14085,3038,1653,3265,10515,0.0581,0.0129,0.003,Positive
79,5,Instagram,Video,2024-02-27,16,Tuesday,287,19,True,55264,168351,4627,340,417,886,2144,0.0974,0.0127,-0.272,Neutral
80,5,Instagram,Video,2024-02-24,9,Saturday,149,23,True,215312,637046,10115,2218,917,1634,21072,0.0615,0.0331,-0.333,Negative
81,5,Instagram,Video,2024-02-12,20,Monday,425,10,True,481639,934172,40015,5030,3812,4478,70679,0.1014,0.0757,0.34,Negative
82,5,Instagram,Video,2024-03-02,6,Saturday,135,4,True,49996,132512,2072,293,117,496,3311,0.0496,0.025,-0.846,Positive
83,5,Instagram,Story,2024-03-01,5,Friday,112,26,True,405160,970540,25718,4541,3522,4357,51693,0.0834,0.0533,0.442,Positive
84,5,Instagram,Post,2024-02-25,15,Sunday,482,26,True,191997,522859,6246,774,787,979,21659,0.0407,0.0414,-0.264,Negative
85,5,Instagram,Article,2024-02-27,8,Tuesday,46,20,False,243053,716192,15824,2233,801,2704,17173,0.0776,0.024,0.748,Negative
86,5,Instagram,Video,2024-02-10,2,Saturday,486,7,False,373978,1170604,23343,5035,1667,1855,85888,0.0803,0.0734,0.769,Positive
87,5,Instagram,Tweet,2024-02-26,20,Monday,191,25,True,28921,59331,1133,107,69,79,1916,0.0453,0.0323,-0.725,Neutral
88,5,Instagram,Story,2024-02-28,17,Wednesday,392,19,False,365942,1132467,23047,4011,3326,2146,12831,0.083,0.0113,-0.778,Neutral
89,5,Instagram,Carousel,2024-02-17,0,Saturday,343,16,True,158889,221242,5655,918,204,848,15170,0.0427,0.0686,0.437,Neutral
90,5,Instagram,Carousel,2024-02-26,17,Monday,279,25,True,1820,4687,58,10,2,3,366,0.0385,0.0781,-0.219,Neutral
91,6,YouTube,Article,2024-03-19,18,Tuesday,396,24,False,203837,704153,3624,925,341,636,43168,0.024,0.0613,-0.733,Neutral
92,6,YouTube,Reel,2024-03-15,22,Friday,417,30,False,178496,544844,3995,525,411,848,29542,0.0276,0.0542,-0.926,Positive
93,6,YouTube,Article,2024-02-20,20,Tuesday,117,9,False,415769,656385,7301,950,927,734,31514,0.0221,0.048,0.724,Positive
94,6,YouTube,Video,2024-03-05,22,Tuesday,274,11,False,144244,201759,4654,754,555,1139,7478,0.0413,0.0371,0.602,Negative
95,6,YouTube,Video,2024-03-09,19,Saturday,387,13,True,42380,90415,1871,268,95,204,2979,0.0527,0.0329,0.38,Neutral
96,6,YouTube,Tweet,2024-03-10,20,Sunday,227,11,True,23206,66006,1186,162,123,72,4317,0.0634,0.0654,0.906,Positive
97,6,YouTube,Carousel,2024-03-18,4,Monday,367,14,False,356513,1060679,4096,1006,388,669,39032,0.0154,0.0368,-0.256,Positive
98,6,YouTube,Video,2024-03-16,17,Saturday,80,8,False,73191,173514,2231,240,93,334,10670,0.035,0.0615,0.408,Positive
99,6,YouTube,Reel,2024-03-18,21,Monday,452,10,False,150724,416835,6746,765,312,1299,9206,0.0519,0.0221,0.419,Negative
100,6,YouTube,Reel,2024-03-15,6,Friday,425,4,True,153233,496351,7771,1554,773,1179,32540,0.0659,0.0656,0.581,Positive
101,6,YouTube,Tweet,2024-03-06,23,Wednesday,265,16,False,291466,720931,11131,881,1270,1442,10527,0.0456,0.0146,0.538,Negative
102,6,YouTube,Tweet,2024-02-21,18,Wednesday,113,24,True,66707,229052,2479,460,185,510,16367,0.0468,0.0715,-0.135,Positive
103,6,YouTube,Article,2024-02-24,2,Saturday,148,6,False,272634,400018,4861,985,388,1113,30346,0.0229,0.0759,-0.75,Neutral
104,6,YouTube,Post,2024-03-18,18,Monday,41,26,True,280696,371705,11117,1773,552,2561,19965,0.0479,0.0537,-0.838,Negative
105,6,YouTube,Post,2024-03-16,15,Saturday,145,25,False,139755,372127,5766,1050,552,622,20058,0.0527,0.0539,-0.405,Positive
106,7,Twitter,Article,2024-09-30,11,Monday,224,4,False,83879,180763,1033,203,82,203,10897,0.0157,0.0603,0.03,Positive
107,7,Twitter,Story,2024-10-03,5,Thursday,436,10,False,127740,283523,1053,109,79,182,10459,0.0097,0.0369,-0.62,Positive
108,7,Twitter,Carousel,2024-10-06,11,Sunday,44,1,False,270864,601414,6289,571,498,617,25263,0.0272,0.042,-0.01,Negative
109,7,Twitter,Reel,2024-10-08,12,Tuesday,46,18,True,247723,442382,696,83,53,90,15750,0.0034,0.0356,-0.275,Neutral
110,7,Twitter,Video,2024-09-30,11,Monday,426,10,False,203558,470262,3774,962,481,924,8613,0.0256,0.0183,0.51,Positive
111,7,Twitter,Carousel,2024-10-07,4,Monday,187,29,False,267926,552819,878,208,144,70,25624,0.0046,0.0464,-0.675,Negative
112,7,Twitter,Post,2024-10-08,10,Tuesday,364,3,False,442766,805020,5558,766,569,1184,24943,0.0156,0.031,0.167,Negative
113,7,Twitter,Reel,2024-10-10,18,Thursday,265,5,False,361733,944204,5429,1082,915,518,47675,0.0205,0.0505,-0.704,Negative
114,7,Twitter,Carousel,2024-10-02,19,Wednesday,491,15,True,17552,43426,288,48,27,26,1689,0.0207,0.0389,0.412,Negative
115,7,Twitter,Post,2024-10-02,21,Wednesday,415,27,False,295066,554759,5467,676,281,647,40968,0.0218,0.0738,0.22,Positive
116,7,Twitter,Post,2024-10-02,15,Wednesday,198,17,False,147279,359273,1501,151,81,286,8805,0.0118,0.0245,-0.424,Negative
117,7,Twitter,Tweet,2024-10-08,2,Tuesday,197,29,False,285788,574795,8374,1633,947,900,17434,0.0383,0.0303,0.312,Negative
118,7,Twitter,Story,2024-10-05,1,Saturday,362,28,True,113190,179401,2105,322,83,352,9525,0.0222,0.0531,0.276,Positive
119,7,Twitter,Tweet,2024-10-01,15,Tuesday,264,20,True,217688,412019,3301,298,455,269,32324,0.0186,0.0785,0.512,Neutral
120,7,Twitter,Story,2024-10-03,13,Thursday,471,26,True,150639,399216,2918,595,347,692,24199,0.0256,0.0606,0.868,Positive
121,7,Twitter,Carousel,2024-10-10,3,Thursday,495,10,False,209139,625556,1746,330,103,191,7896,0.0104,0.0126,-0.091,Negative
122,7,Twitter,Video,2024-10-06,20,Sunday,151,22,True,275893,630523,7887,1010,369,650,11277,0.0336,0.0179,-0.972,Neutral
123,7,Twitter,Reel,2024-10-09,12,Wednesday,362,3,True,155677,383381,2710,665,450,414,26027,0.0246,0.0679,0.963,Neutral
